,order_id,tracking_number,date_creation,date_shipping,shipper,history,Shipping_Status,Expected_Arrival,Arrival_Status
10,34356500,9670912731,2023-11-03,2023-11-08,DHL,"[('2023-11-09', 'Shipment picked up'), ('2023-11-09', 'Processed at belfast-united kingdom'), ('2023-11-09', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-10', 'Processed at dublin-ireland, republic of'), ('2023-11-10', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-11', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-11', 'Processed at leipzig-germany'), ('2023-11-11', 'Scheduled to depart on the next planned movement'), ('2023-11-13', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-13', 'Arrived at dhl sort facility  barcelona-spain')]",Delayed,2023-11-08,Overdue
11,34356532,7101774956,2023-11-03,2023-11-06,DHL,"[('2023-11-06', 'Shipment picked up'), ('2023-11-06', 'Processed at belfast-united kingdom'), ('2023-11-06', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-06', 'Processed at dublin-ireland, republic of'), ('2023-11-06', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-07', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-07', 'Processed at leipzig-germany'), ('2023-11-07', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-07', 'Arrived at dhl sort facility  cologne-germany'), ('2023-11-07', 'Processed at cologne-germany'), ('2023-11-07', 'Shipment has departed from a dhl facility cologne-germany'), ('2023-11-07', 'Arrived at dhl delivery facility  duesseldorf-germany'), ('2023-11-07', 'Processed at duesseldorf-germany'), ('2023-11-07', 'Shipment is out with courier for delivery'), ('2023-11-07', 'Delivered')]",Shipped On Time,2023-11-08,On Time
12,34358288,8663134115,2023-11-03,2023-11-06,DHL,"[('2023-11-06', 'Shipment picked up'), ('2023-11-06', 'Processed at belfast-united kingdom'), ('2023-11-06', 'Shipment is in transit to destination'), ('2023-11-06', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-06', 'Arrived at dhl sort facility  east midlands-united kingdom'), ('2023-11-07', 'Processed at east midlands-united kingdom'), ('2023-11-07', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-07', 'Arrived at dhl sort facility  paris-france'), ('2023-11-07', 'Processed at paris-france'), ('2023-11-07', 'Shipment has departed from a dhl facility paris-france'), ('2023-11-07', 'Arrived at dhl delivery facility  paris-france'), ('2023-11-07', 'Shipment is out with courier for delivery'), ('2023-11-07', 'Delivered')]",Shipped On Time,2023-11-08,On Time
13,34361090,5262769153,2023-11-03,2023-11-06,DHL,"[('2023-11-06', 'Shipment picked up'), ('2023-11-06', 'Processed at belfast-united kingdom'), ('2023-11-06', 'Shipment is in transit to destination'), ('2023-11-06', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-06', 'Arrived at dhl sort facility  east midlands-united kingdom'), ('2023-11-07', 'Processed at east midlands-united kingdom'), ('2023-11-07', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-07', 'Arrived at dhl sort facility  vitoria-spain'), ('2023-11-07', 'Processed at vitoria-spain'), ('2023-11-07', 'Shipment has departed from a dhl facility vitoria-spain'), ('2023-11-07', 'Arrived at dhl sort facility  sevilla-spain'), ('2023-11-07', 'Processed at sevilla-spain'), ('2023-11-07', 'Shipment has departed from a dhl facility sevilla-spain'), ('2023-11-07', 'Arrived at dhl delivery facility  sevilla-spain'), ('2023-11-08', 'Shipment is out with courier for delivery'), ('2023-11-08', 'Delivered')]",Shipped On Time,2023-11-08,On Time
14,34382254,6016550201,2023-11-04,2023-11-06,DHL,"[('2023-11-06', 'Shipment picked up'), ('2023-11-06', 'Processed at belfast-united kingdom'), ('2023-11-06', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-06', 'Processed at dublin-ireland, republic of'), ('2023-11-06', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-07', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-07', 'Processed at leipzig-germany'), ('2023-11-07', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-07', 'Arrived at dhl sort facility  cologne-germany'), ('2023-11-07', 'Processed at cologne-germany'), ('2023-11-07', 'Shipment has departed from a dhl facility cologne-germany'), ('2023-11-07', 'Arrived at dhl delivery facility  cologne-germany'), ('2023-11-07', 'Shipment is out with courier for delivery'), ('2023-11-07', 'Delivered'), ('2023-11-07', 'Delivery attempted but no response at consignee address')]",Shipped On Time,2023-11-08,On Time
15,34390762,8429873745,2023-11-04,2023-11-06,DHL,"[('2023-11-06', 'Shipment picked up'), ('2023-11-06', 'Processed at belfast-united kingdom'), ('2023-11-06', 'Shipment is in transit to destination'), ('2023-11-06', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-06', 'Arrived at dhl sort facility  east midlands-united kingdom'), ('2023-11-07', 'Processed at east midlands-united kingdom'), ('2023-11-07', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-07', 'Arrived at dhl sort facility  vitoria-spain'), ('2023-11-07', 'Processed at vitoria-spain'), ('2023-11-07', 'Shipment has departed from a dhl facility vitoria-spain'), ('2023-11-07', 'Arrived at dhl sort facility  sevilla-spain'), ('2023-11-07', 'Shipment has departed from a dhl facility sevilla-spain'), ('2023-11-07', 'Processed at sevilla-spain'), ('2023-11-07', 'Arrived at dhl delivery facility  sevilla-spain'), ('2023-11-07', 'Forwarded to a third party agent'), ('2023-11-08', 'Arrived at dhl delivery facility  sevilla-spain'), ('2023-11-08', 'Shipment is out with courier for delivery'), ('2023-11-08', 'Delivered')]",Shipped On Time,2023-11-08,On Time
16,34430068,1121088080,2023-11-06,2023-11-06,DHL,"[('2023-11-06', 'Shipment picked up'), ('2023-11-06', 'Processed at belfast-united kingdom'), ('2023-11-06', 'Shipment is in transit to destination'), ('2023-11-06', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-06', 'Arrived at dhl sort facility  east midlands-united kingdom'), ('2023-11-07', 'Processed at east midlands-united kingdom'), ('2023-11-07', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-07', 'Arrived at dhl sort facility  paris-france'), ('2023-11-07', 'Processed at paris-france'), ('2023-11-07', 'Shipment has departed from a dhl facility paris-france'), ('2023-11-07', 'Arrived at dhl delivery facility  le havre-france'), ('2023-11-07', 'Shipment is out with courier for delivery'), ('2023-11-07', 'Delivered')]",Shipped On Time,2023-11-08,On Time
17,34455242,7574493264,2023-11-06,2023-11-07,DHL,"[('2023-11-07', 'Shipment picked up'), ('2023-11-07', 'Processed at belfast-united kingdom'), ('2023-11-07', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-07', 'Shipment is in transit to destination'), ('2023-11-07', 'Shipment is in transit to destination'), ('2023-11-07', 'Shipment has departed from a dhl facility east midlands-united kingdom'), ('2023-11-08', 'Arrived at dhl sort facility  brussels-belgium'), ('2023-11-08', 'Processed at brussels-belgium'), ('2023-11-08', 'Shipment has departed from a dhl facility brussels-belgium'), ('2023-11-08', 'Arrived at dhl sort facility  lille-france'), ('2023-11-08', 'Arrived at dhl delivery facility  lille-france'), ('2023-11-08', 'Processed at lille-france'), ('2023-11-08', 'Shipment is out with courier for delivery'), ('2023-11-08', 'Delivered')]",Shipped On Time,2023-11-09,On Time
18,34489584,4795218024,2023-11-07,2023-11-08,DHL,"[('2023-11-08', 'Shipment picked up'), ('2023-11-08', 'Processed at belfast-united kingdom'), ('2023-11-08', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-08', 'Processed at dublin-ireland, republic of'), ('2023-11-08', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-09', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-09', 'Processed at leipzig-germany'), ('2023-11-09', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-09', 'Arrived at dhl sort facility  cologne-germany'), ('2023-11-09', 'Processed at cologne-germany'), ('2023-11-09', 'Shipment has departed from a dhl facility cologne-germany'), ('2023-11-09', 'Arrived at dhl delivery facility  greven-germany'), ('2023-11-09', 'Shipment is out with courier for delivery'), ('2023-11-09', 'Delivered')]",Shipped On Time,2023-11-10,On Time
19,34490176,1903793286,2023-11-07,2023-11-08,DHL,"[('2023-11-08', 'Shipment picked up'), ('2023-11-08', 'Processed at belfast-united kingdom'), ('2023-11-08', 'Shipment has departed from a dhl facility belfast-united kingdom'), ('2023-11-08', 'Processed at dublin-ireland, republic of'), ('2023-11-08', 'Shipment has departed from a dhl facility dublin-ireland, republic of'), ('2023-11-09', 'Arrived at dhl sort facility  leipzig-germany'), ('2023-11-09', 'Processed at leipzig-germany'), ('2023-11-09', 'Shipment has departed from a dhl facility leipzig-germany'), ('2023-11-09', 'Arrived at dhl delivery facility  straubing-germany'), ('2023-11-09', 'Shipment is out with courier for delivery'), ('2023-11-09', 'Delivered')]",Shipped On Time,2023-11-10,On Time
